"The fielder caught the ball in the air in shallow center field.", "The fielder caught the ball. The fielder caught the ball in the air. The fielder caught the ball in center field. The fielder caught the ball in the air in center field. The fielder caught the ball in shallow center field. The fielder caught the ball in the air in shallow center field."
"The fielder caught the ball for an out.", "The fielder caught the ball. The fielder caught the ball for an out."
"It was a home run.", "It was a home run."
"A home run was hit out of the playing grounds.", "A home run was hit. A home run was hit out of the grounds. A home run was hit out of the playing grounds."
"The batter hit a ball.", "The batter hit a ball."
"A ball was caught by the shortstop.", "A ball was caught. A ball was caught by the shortstop."
"The pitcher threw the ball.", "The pitcher threw the ball."
"The ball crossed the plate outside of the strike zone.", "The ball crossed the plate. The ball crossed the plate outside of the strike zone."
"The batter hit the ball.", "The batter hit the ball."
"The ball did not stay in the field of play.", "The ball did not stay. The ball did not stay in the field. The ball did not stay in the field of play."
"The umpire ruled that the batter did not swing.", "The umpire ruled. The umpire ruled that the batter did not swing."
"It was a ball.", "It was a ball."
"The first base umpire declared that the batter did not take a full swing.", "The base umpire declared. The first base umpire declared. The base umpire declared that the batter did not take a swing. The first base umpire declared that the batter did not take a swing. The base umpire declared that the batter did not take a full swing. The first base umpire declared that the batter did not take a full swing."
"The pitch was called a ball.", "The pitch was called a ball."
"The ball hit the ground before it was caught.", "The ball hit the ground. The ball hit the ground before it was caught."
"The batted ball landed in shallow center field.", "The ball landed. The batted ball landed. The ball landed in center field. The batted ball landed in center field. The ball landed in shallow center field. The batted ball landed in shallow center field."
"The batted ball landed for a hit.", "The ball landed. The batted ball landed. The ball landed for a hit. The batted ball landed for a hit."
"The pitch crossed the plate inside of the strike zone.", "The pitch crossed the plate. The pitch crossed the plate inside of the strike zone."
"The pitch was called a strike by the umpire.", "The pitch was called a strike. The pitch was called a strike by the umpire."
"The hitter hit the ball straight up the middle to the pitcher.", "The hitter hit the ball. The hitter hit the ball to the pitcher. The hitter hit the ball straight up the middle. The hitter hit the ball straight up the middle to the pitcher."
"The pitcher caught it.", "The pitcher caught it."
"The pitcher threw to 2nd base.", "The pitcher threw. The pitcher threw to base. The pitcher threw to 2nd base."
"The pitcher got the runner out.", "The pitcher got the runner out."
"The hitter hit the ball straight up the middle.", "The hitter hit the ball. The hitter hit the ball straight up the middle."
"The hitter hit the ball to the pitcher.", "The hitter hit the ball. The hitter hit the ball to the pitcher."
"The 2nd baseman threw to first baseman.", "The baseman threw. The 2nd baseman threw. The baseman threw to baseman. The 2nd baseman threw to baseman. The baseman threw to first baseman. The 2nd baseman threw to first baseman."
"The 2nd baseman got the hitter out.", "The baseman got the hitter out. The 2nd baseman got the hitter out."
"The umpire behind the plate appealed to the first base umpire.", "The umpire appealed. The umpire behind the plate appealed. The umpire appealed to the base umpire. The umpire behind the plate appealed to the base umpire. The umpire appealed to the first base umpire. The umpire behind the plate appealed to the first base umpire."
"The first base umpire had a better view.", "The base umpire had a view. The base umpire had a better view. The first base umpire had a view. The first base umpire had a better view."
"The batter came all the way around on his swing.", "The batter came around. The batter came around on swing. The batter came around on his swing."
"The batter hit the ball into the air.", "The batter hit the ball. The batter hit the ball into the air."
"The ball was outside the strike zone.", "The ball was outside the strike zone."
"The ball bounced on the ground towards the second baseman.", "The ball bounced. The ball bounced on the ground. The ball bounced towards the baseman. The ball bounced on the ground towards the baseman. The ball bounced towards the second baseman. The ball bounced on the ground towards the second baseman."
"The batter hit a popup.", "The batter hit a popup."
"The ball did not go through the strike zone.", "The ball did not go. The ball did not go through the strike zone."
"This is a ground out.", "This is a ground out."
"The third baseman threw to first base for the out.", "The baseman threw. The third baseman threw. The baseman threw to base. The third baseman threw to base. The baseman threw to base for the out. The third baseman threw to base for the out. The baseman threw to first base. The third baseman threw to first base. The baseman threw to first base for the out. The third baseman threw to first base for the out."
"This is labeled as a catch.", "This is labeled. This is labeled as a catch."
"The batter hit it up in the air.", "The batter hit it up. The batter hit it up in the air."
"The umpire called the pitch a ball for being too high.", "The umpire called the pitch a ball. The umpire called the pitch a ball for being too high"
"The batter sent it into left field.", "The batter sent it. The batter sent it into field. The batter sent it into left field."
"The batter swung the bat.", "The batter swung the bat."
"The batter made contact.", "The batter made contact."
"The batter hit the ball in play in the air.", "The batter hit the ball. The batter hit the ball in the air. The batter hit the ball in play. The batter hit the ball in play in the air."
"Hitter didn't swing his bat.", "Hitter didn't swing his bat."
"The center baseman caught the ball for an out.", "The center baseman caught the ball. The center baseman caught the ball for an out."
"A ball was caught by the shortstop.", "A ball was caught. A ball was caught by the shortstop."
"The batter popped it to shallow center.", "The batter popped it. The batter popped it to center. The batter popped it to shallow center."
"The strike had to be called by the umpire.", "The strike had to be called. The strike had to be called by the umpire."
"The ball was hit over the outfield wall on the fly,in fair territory.", "The ball was hit. The ball was hit on the fly. The ball was hit over the outfield wall. The ball was hit over the outfield wall on the fly. The ball was hit in territory. The ball was hit over the outfield wall in territory. The ball was hit on the fly in territory. The ball was hit over the outfield wall on the fly in territory. The ball was hit in fair territory. The ball was hit on the fly in fair territory. The ball was hit over the outfield wall in fair territory. The ball was hit over the outfield wall on the fly in fair territory."
"The first baseman caused the batter to be out.", "The baseman caused the batter to be out. The first baseman caused the batter to be out."
"It was caught by the shortstop.", "It was caught. It was caught by the shortstop."
"The first baseman caught the ball.", "The baseman caught the ball. The first baseman caught the ball."
"A popup was caught by the left fielder.", "A popup was caught. A popup was caught by the fielder. A popup was caught by the left fielder."
"The batter Altuve made contact with the pitch.", "The batter Altuve made contact with the pitch. The batter made contact with the pitch."
"The batter did not swing.", "The batter did not swing."
"He was thrown out at first.", "He was thrown out. He was thrown out at first."
